"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"AK4",1.54741605105151e-11,-4.36689927035673,0.06,0.576,4.58561272568605e-07,"AK4"
"CTTN",1.61648264919779e-11,-4.70840841751795,0.145,0.695,4.79028468263272e-07,"CTTN"
"TMEM132A",1.68528074038601e-11,-3.17450228532865,0.024,0.508,4.99416094605989e-07,"TMEM132A"
"CLDN3",1.81195694671691e-11,-3.27931219731143,0.06,0.559,5.36955321590089e-07,"CLDN3"
"PLPP2",1.84576921393779e-11,-4.90597174878013,0.108,0.627,5.46975248858326e-07,"PLPP2"
"KRT8",2.01758162851494e-11,-5.19320781546029,0.193,0.678,5.97890139794116e-07,"KRT8"
"TMEM98",2.08432082093246e-11,-4.01891468009534,0.072,0.593,6.17667632075125e-07,"TMEM98"
"SDC4",2.11718368766526e-11,-5.16630581967268,0.181,0.695,6.27406214002722e-07,"SDC4"
"ITGAV",2.47056977844171e-11,-4.27965772418746,0.157,0.712,7.32128648143417e-07,"ITGAV"
"SGMS2",2.54758853693148e-11,-3.97593955495454,0.048,0.542,7.54952387034274e-07,"SGMS2"
"NTN4",2.64867929480585e-11,-3.9341727790627,0.012,0.475,7.84909622222767e-07,"NTN4"
"MMP7",2.82537604690631e-11,-4.13946299037255,0.024,0.492,8.37271937740216e-07,"MMP7"
"VSIG2",2.86918732898143e-11,-4.20481453037377,0.012,0.475,8.50254973070357e-07,"VSIG2"
"CXCL2",2.99352016995423e-11,-3.53899229074122,0.265,0.746,8.87099767164236e-07,"CXCL2"
"RND3",3.1737289110464e-11,-4.55475088053031,0.048,0.525,9.40502825499489e-07,"RND3"
"ARFGEF3",3.17507223605925e-11,-3.22682860505992,0.024,0.492,9.40900906433797e-07,"ARFGEF3"
"KCNK1",3.35435306567593e-11,-3.7522619141417,0.06,0.559,9.94028987482405e-07,"KCNK1"
"SERPINA1",3.41690951535366e-11,-4.47801194582964,0.301,0.763,1.01256696577991e-06,"SERPINA1"
"ITGB8",3.43137913789959e-11,-3.29532015482684,0.024,0.492,1.01685489372517e-06,"ITGB8"
"SIPA1L2",3.43322587867846e-11,-3.66267864311296,0.036,0.525,1.01740215688758e-06,"SIPA1L2"
"ARHGEF16",3.60128429221546e-11,-3.1682053030822,0,0.441,1.06720458715513e-06,"ARHGEF16"
"C1orf210",3.60128429221546e-11,-2.69292031562637,0,0.441,1.06720458715513e-06,"C1orf210"
"CEACAM5",3.60128429221546e-11,-5.05875211156964,0,0.441,1.06720458715513e-06,"CEACAM5"
"CGN",3.60128429221546e-11,-2.62316058802583,0,0.441,1.06720458715513e-06,"CGN"
"FUT3",3.60128429221546e-11,-3.16328141780476,0,0.441,1.06720458715513e-06,"FUT3"
"LAMC2",3.60128429221546e-11,-4.19288054743577,0,0.441,1.06720458715513e-06,"LAMC2"
"SIX1",3.60128429221546e-11,-3.56190563854164,0,0.441,1.06720458715513e-06,"SIX1"
