"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SLCO2B1",2.85708816179656e-09,4.8715566643355,0.431,0.013,8.46669505866794e-05,"SLCO2B1"
"FCHO2",2.93402202844345e-09,4.22564194291264,0.471,0.027,8.69468087908933e-05,"FCHO2"
"PRRG4",2.98852899912948e-09,4.48551613237188,0.431,0.013,8.85620683602032e-05,"PRRG4"
"CDCP1",3.12585078061687e-09,4.3236604468261,0.431,0.013,9.26314620328002e-05,"CDCP1"
"PKIB",3.12585078061687e-09,5.32278808160594,0.431,0.013,9.26314620328002e-05,"PKIB"
"CRABP2",3.2693088221482e-09,5.91687482904125,0.431,0.013,9.68826976355397e-05,"CRABP2"
"WDFY3",3.57570901260252e-09,4.31981144409367,0.431,0.013,0.000105962560879463,"WDFY3"
"TM4SF1",3.60610812375123e-09,4.68779253218953,0.49,0.04,0.000106863408139244,"TM4SF1"
"CLDN7",3.62222566353068e-09,3.21291563950921,0.549,0.067,0.000107341035313068,"CLDN7"
"HBEGF",3.78900505921187e-09,4.46361214106241,0.51,0.053,0.000112283375924685,"HBEGF"
"PTGR1",3.79065129954649e-09,3.13340208748339,0.471,0.027,0.000112332160610761,"PTGR1"
"SFN",3.90999455528927e-09,2.88439272644459,0.431,0.013,0.000115868778651442,"SFN"
"MAFB",3.96237660020214e-09,3.67608994227826,0.608,0.12,0.00011742106817039,"MAFB"
"EMP1",4.08222843277341e-09,3.48052388331651,0.49,0.04,0.000120972757376807,"EMP1"
"GPRC5A",4.46914248989166e-09,4.22619768425699,0.431,0.013,0.000132438568545449,"GPRC5A"
"MLPH",4.64235698205495e-09,4.2186968493003,0.451,0.027,0.000137571606806216,"MLPH"
"CDH1",4.73369733183039e-09,5.14403836667168,0.392,0,0.000140278386731462,"CDH1"
"CYR61",4.73369733183039e-09,4.59683861958905,0.392,0,0.000140278386731462,"CYR61"
"IGFBP2",4.73369733183039e-09,5.04246259047501,0.392,0,0.000140278386731462,"IGFBP2"
"PDZK1IP1",4.73369733183039e-09,5.1451013360755,0.392,0,0.000140278386731462,"PDZK1IP1"
"SEZ6L2",4.73369733183039e-09,3.86390041819683,0.392,0,0.000140278386731462,"SEZ6L2"
"TNNT1",4.73369733183039e-09,4.96067314273948,0.392,0,0.000140278386731462,"TNNT1"
"YAP1",4.73369733183039e-09,4.35175443995008,0.392,0,0.000140278386731462,"YAP1"
"TNFAIP2",4.79416157902611e-09,3.40108446797871,0.549,0.08,0.00014207018423286,"TNFAIP2"
"SORT1",4.88435961143514e-09,3.86328920988031,0.431,0.013,0.000144743112725269,"SORT1"
"PTGS2",5.05851664958502e-09,4.80485543181624,0.451,0.027,0.000149904082393802,"PTGS2"
"SNX7",5.1058114089992e-09,3.96548289817388,0.431,0.013,0.000151305615294282,"SNX7"
"LRP1",5.22493625632882e-09,3.29225446507954,0.49,0.04,0.000154835761020048,"LRP1"
"MORN2",5.35272766931398e-09,3.18375107998342,0.569,0.08,0.00015862273175245,"MORN2"
"CTNND1",5.74450943895339e-09,2.91252710654022,0.588,0.107,0.000170232792713945,"CTNND1"
"NOL3",5.75159653407363e-09,4.28784046547085,0.451,0.027,0.000170442811690738,"NOL3"
"CTTN",6.26408173638677e-09,3.7734070250789,0.451,0.027,0.000185629798176085,"CTTN"
"CCL3",6.31607528730186e-09,2.65021388891975,0.824,0.333,0.000187170575063903,"CCL3"
"H1F0",6.47985200195304e-09,3.54121354423866,0.529,0.067,0.000192023934225876,"H1F0"
"ITGAV",6.73595600059638e-09,2.92809046285583,0.529,0.067,0.000199613320121673,"ITGAV"
"C1QA",7.09367415147194e-09,2.69121838840781,0.686,0.2,0.000210213939804719,"C1QA"
"SLPI",7.2644892043538e-09,5.73521450787162,0.412,0.013,0.00021527587308182,"SLPI"
"MS4A4A",7.32679245199094e-09,4.53991660001728,0.471,0.04,0.0002171221675223,"MS4A4A"
"P4HA2",7.4256880862269e-09,3.53588247582999,0.451,0.027,0.000220052840747248,"P4HA2"
"LAMC1",8.43179088717603e-09,2.94796058384371,0.451,0.027,0.000249867691150574,"LAMC1"
"ICAM1",8.66575278495103e-09,3.77059598721919,0.627,0.16,0.000256800918029239,"ICAM1"
"AK4",8.7957139293381e-09,4.27966206817197,0.451,0.027,0.000260652186582005,"AK4"
"RNF19B",8.99711156660182e-09,2.79005219591702,0.471,0.04,0.000266620404164678,"RNF19B"
"TMEM176B",9.04747952294208e-09,3.46746732024044,0.549,0.093,0.000268113008182866,"TMEM176B"
"C19orf33",9.07709303876926e-09,4.40089906244586,0.412,0.013,0.000268990575110888,"C19orf33"
"FCGR1A",9.07709303876926e-09,4.93649890441886,0.412,0.013,0.000268990575110888,"FCGR1A"
"NR2F6",9.17125882038997e-09,3.46285562621723,0.529,0.067,0.000271781083883436,"NR2F6"
"SRD5A3",9.39410319978273e-09,2.71901492355337,0.608,0.12,0.000278384854222361,"SRD5A3"
"RND3",9.48906647341545e-09,3.71230225088566,0.412,0.013,0.000281198995873194,"RND3"
"LUCAT1",9.91919241276736e-09,4.39501473157822,0.412,0.013,0.000293945347959948,"LUCAT1"
"RAI14",1.04102383433648e-08,2.68853143004107,0.451,0.027,0.000308497003067272,"RAI14"
"ITGA3",1.06898258203529e-08,4.20859799413067,0.431,0.027,0.000316782298360337,"ITGA3"
"LGALS3",1.07004586232018e-08,2.46493898392515,0.804,0.307,0.000317097390839962,"LGALS3"
"TMEM54",1.13263909753002e-08,4.33409568668698,0.412,0.013,0.000335646270162047,"TMEM54"
"ADAM15",1.14490501536738e-08,2.70834645508807,0.588,0.107,0.000339281152253971,"ADAM15"
"PTRF",1.18371972355724e-08,4.09604417602826,0.412,0.013,0.000350783502878952,"PTRF"
"C1QB",1.2007389461954e-08,3.62039941605367,0.608,0.147,0.000355826979315545,"C1QB"
"RAB13",1.20854011643012e-08,2.62816227552905,0.647,0.173,0.000358138778102902,"RAB13"
"S100A2",1.2147467433189e-08,4.62726223228926,0.431,0.027,0.000359978049915122,"S100A2"
"FARP1",1.23113452904946e-08,3.71515642066103,0.451,0.027,0.000364834406338516,"FARP1"
"CXCL17",1.31557170042647e-08,5.52302563281981,0.373,0,0.000389856517704379,"CXCL17"
"DCBLD2",1.31557170042647e-08,4.77367848036296,0.373,0,0.000389856517704379,"DCBLD2"
