"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"VSIG4",1.04298693298168e-08,-4.52341197816937,0.114,0.592,0.000309078747719792,"VSIG4"
"GPX8",1.05334691211554e-08,-3.27208913042425,0.014,0.429,0.000312148823936319,"GPX8"
"LRP3",1.06091179033929e-08,-3.44541020990583,0.029,0.469,0.000314390599949146,"LRP3"
"KIAA1522",1.08739975687556e-08,-4.13211451415967,0.057,0.51,0.000322240043952504,"KIAA1522"
"IRX3",1.10394698776082e-08,-3.49960809951286,0.014,0.429,0.000327143650353042,"IRX3"
"PVRL2",1.10463102401207e-08,-3.50621317865481,0.214,0.714,0.000327346357655738,"PVRL2"
"DSC2",1.21991745207576e-08,-3.70802152963532,0.086,0.551,0.00036151033774813,"DSC2"
"C5AR1",1.30396793177777e-08,-3.89354297522477,0.143,0.633,0.000386417856903025,"C5AR1"
"SLCO2B1",1.34712245175002e-08,-4.72114559566329,0.1,0.571,0.0003992062673516,"SLCO2B1"
"CDC42EP1",1.36197559437776e-08,-3.35864234699918,0.129,0.633,0.000403607847637904,"CDC42EP1"
"MEX3D",1.39453279057742e-08,-2.94414019111753,0.014,0.429,0.000413255847159713,"MEX3D"
"CYP1B1",1.43175938834737e-08,-3.91483417937902,0.086,0.551,0.00042428757714286,"CYP1B1"
"HSD3B7",1.44782975660858e-08,-2.63524468853806,0.1,0.612,0.000429049870073386,"HSD3B7"
"AXL",1.44966021044774e-08,-4.34398777156294,0.114,0.612,0.000429592306764084,"AXL"
"DMKN",1.46799371381799e-08,-3.61052869906512,0.114,0.653,0.000435025257152824,"DMKN"
"IER3",1.51852002548653e-08,-3.36988437669318,0.486,0.898,0.000449998224352679,"IER3"
"EGFL7",1.6511923828347e-08,-3.95673090646227,0.086,0.571,0.000489314350729236,"EGFL7"
"TOM1L1",1.71127662430659e-08,-3.00800378199298,0.057,0.531,0.000507119714847014,"TOM1L1"
"GULP1",1.75888314146753e-08,-2.9873938854047,0.014,0.429,0.000521227430142488,"GULP1"
"LAMB2",1.79704132392148e-08,-3.02931066340795,0.057,0.51,0.00053253522593089,"LAMB2"
"EVPL",1.83557293557948e-08,-2.53577659987538,0,0.388,0.000543953683729622,"EVPL"
"FAT1",1.83557293557948e-08,-2.84258768519827,0,0.388,0.000543953683729622,"FAT1"
"FOXA1",1.83557293557948e-08,-2.87095773115854,0,0.388,0.000543953683729622,"FOXA1"
"FUT3",1.83557293557948e-08,-3.10636812202048,0,0.388,0.000543953683729622,"FUT3"
"KRT17",1.83557293557948e-08,-4.46736472343021,0,0.388,0.000543953683729622,"KRT17"
"MECOM",1.83557293557948e-08,-3.08411873109595,0,0.388,0.000543953683729622,"MECOM"
"MUC5B",1.83557293557948e-08,-5.95127086862492,0,0.388,0.000543953683729622,"MUC5B"
"SERTAD4-AS1",1.83557293557948e-08,-3.0836335610999,0,0.388,0.000543953683729622,"SERTAD4-AS1"
"SFTA1P",1.83557293557948e-08,-3.11442260449391,0,0.388,0.000543953683729622,"SFTA1P"
"SIX1",1.83557293557948e-08,-2.71411108344869,0,0.388,0.000543953683729622,"SIX1"
"C6orf132",1.86087991787145e-08,-3.33236341647123,0.043,0.49,0.000551453154862026,"C6orf132"
"HBEGF",1.87032962948669e-08,-3.5464115408691,0.2,0.714,0.000554253482402085,"HBEGF"
"MPZL2",1.89045176485751e-08,-4.52264255205105,0.114,0.612,0.000560216475997874,"MPZL2"
"S100A2",1.9354583933339e-08,-5.18800174555688,0.071,0.51,0.000573553740280568,"S100A2"
"CCND1",2.02320408158239e-08,-3.38761903508227,0.257,0.816,0.000599556297536127,"CCND1"
"LMO3",2.18317410325691e-08,-3.77633549728929,0.029,0.449,0.000646961813759153,"LMO3"
"TUSC3",2.38571333698176e-08,-4.26520178894431,0.029,0.449,0.000706982290281175,"TUSC3"
"LTBR",2.47839520828075e-08,-4.08824207551546,0.171,0.694,0.000734447636021916,"LTBR"
"CLDN12",2.59312046351673e-08,-3.91347220344433,0.086,0.551,0.000768445318158547,"CLDN12"
"LGR4",2.60644069561693e-08,-3.43707689029911,0.029,0.449,0.00077239263573912,"LGR4"
"C3",2.70905544896246e-08,-4.1014714462229,0.1,0.571,0.000802801491745536,"C3"
"GDF15",2.75263955983523e-08,-4.18219654450128,0.129,0.592,0.000815717207161572,"GDF15"
"BSPRY",2.83008130860757e-08,-2.89540227460849,0.057,0.51,0.000838666294992768,"BSPRY"
"EFNA5",2.83008130860757e-08,-3.82735595575217,0.057,0.51,0.000838666294992768,"EFNA5"
"ASS1",2.84693238473077e-08,-2.51263047707858,0.029,0.449,0.000843659942891116,"ASS1"
"WNT7B",2.84693238473077e-08,-4.10399772906159,0.029,0.449,0.000843659942891116,"WNT7B"
"IL1A",2.85355249180331e-08,-3.90664398225206,0.014,0.408,0.000845621745420994,"IL1A"
"MTMR11",2.88906496861696e-08,-3.55901191891248,0.071,0.531,0.000856145512799951,"MTMR11"
