"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"RNF19B",2.23415450669891e-16,2.69355882134086,0.896,0.455,6.62069346515155e-12,"RNF19B"
"B3GNT3",2.30887584706784e-16,3.21226431647234,0.623,0.055,6.84212268520085e-12,"B3GNT3"
"PVRL1",2.39669276134492e-16,2.67695219652204,0.844,0.245,7.10235932896953e-12,"PVRL1"
"CADPS2",2.42058600935079e-16,4.01504883378354,0.623,0.073,7.17316458011014e-12,"CADPS2"
"CAMSAP2",2.54200982155494e-16,2.84130998941889,0.818,0.236,7.53299190519591e-12,"CAMSAP2"
"GNA15",2.60809730660855e-16,2.7055760762565,0.961,0.627,7.72883555840379e-12,"GNA15"
"SPOCD1",2.65649207597312e-16,2.22537262592637,0.558,0.027,7.87224861793873e-12,"SPOCD1"
"JAG1",2.79764103042127e-16,2.57773936741119,0.766,0.155,8.2905294295504e-12,"JAG1"
"RP11-390P2.4",2.86499046886986e-16,2.45753357063287,0.753,0.155,8.49011275544896e-12,"RP11-390P2.4"
"TBC1D16",2.94557938295154e-16,2.4762015345007,0.844,0.191,8.72892994343859e-12,"TBC1D16"
"DTNA",2.94774824918721e-16,2.57810111445288,0.623,0.073,8.73535716164139e-12,"DTNA"
"SAA1",3.02134913847325e-16,4.3905547790894,0.532,0.018,8.95346603695163e-12,"SAA1"
"OSCAR",3.07774120897251e-16,3.09118825766679,0.844,0.282,9.12057829866912e-12,"OSCAR"
"TPBG",3.13398356775883e-16,2.48217744005245,0.844,0.2,9.28724690469651e-12,"TPBG"
"PITPNM3",3.21150969776048e-16,2.0290311590434,0.545,0.018,9.51698783834342e-12,"PITPNM3"
"RP5-1120P11.1",3.23678836700782e-16,2.64479635876294,0.519,0.009,9.59189864679097e-12,"RP5-1120P11.1"
"SHISA4",3.25155546897031e-16,1.646881187468,0.818,0.236,9.63565947674662e-12,"SHISA4"
"RP11-225B17.2",3.30395514668574e-16,1.99284487773262,0.571,0.027,9.79094068168853e-12,"RP11-225B17.2"
"GSDMC",3.35263643231015e-16,2.27007519873087,0.494,0,9.93520280350789e-12,"GSDMC"
"KIAA1549",3.35263643231015e-16,1.98338430205417,0.494,0,9.93520280350789e-12,"KIAA1549"
"MNX1-AS1",3.35263643231015e-16,2.16671738892582,0.494,0,9.93520280350789e-12,"MNX1-AS1"
"MPP3",3.35263643231015e-16,2.17540133276169,0.494,0,9.93520280350789e-12,"MPP3"
"PPBP",3.35263643231015e-16,3.65288908923835,0.494,0,9.93520280350789e-12,"PPBP"
"PRKAA2",3.35263643231015e-16,2.69904113674989,0.494,0,9.93520280350789e-12,"PRKAA2"
"RNF223",3.35263643231015e-16,2.1752552079892,0.494,0,9.93520280350789e-12,"RNF223"
"SPINK5",3.35263643231015e-16,5.73757615147938,0.494,0,9.93520280350789e-12,"SPINK5"
"ALPK3",3.41816998656195e-16,2.57564409189396,0.532,0.018,1.01294049381777e-11,"ALPK3"
"ZDHHC1",3.43681766972589e-16,2.58180143742875,0.649,0.082,1.01846654824657e-11,"ZDHHC1"
"C9orf152",3.55639543847522e-16,3.27990988713094,0.519,0.009,1.05390222423775e-11,"C9orf152"
"AGAP1",3.57318419585385e-16,2.28281657547834,0.74,0.118,1.05887740459933e-11,"AGAP1"
"CACNB3",3.68253806723219e-16,2.12073113789913,0.831,0.173,1.09128333084359e-11,"CACNB3"
"DOCK5",3.84307259526049e-16,2.84176239845023,0.844,0.327,1.13885613287949e-11,"DOCK5"
"MEX3A",3.87468553013004e-16,2.10465157261156,0.727,0.109,1.14822430999874e-11,"MEX3A"
"PTPN21",3.90706250177092e-16,1.79713557654286,0.519,0.009,1.15781890177479e-11,"PTPN21"
"ADORA2B",3.92612356562595e-16,2.47407255978606,0.636,0.082,1.16346745743759e-11,"ADORA2B"
"NRGN",4.16512712614328e-16,4.30053908847891,0.779,0.236,1.2342937725613e-11,"NRGN"
"PPP1R26",4.21634283132307e-16,2.00900804606706,0.701,0.118,1.24947103463428e-11,"PPP1R26"
"KANK2",4.49432440382038e-16,2.68651451046108,0.818,0.164,1.33184809382813e-11,"KANK2"
"PTX3",4.50205031994407e-16,2.83145147867236,0.584,0.055,1.33413759181223e-11,"PTX3"
"ITPKA",4.70108859222546e-16,2.76638919925976,0.597,0.045,1.39312059342009e-11,"ITPKA"
"HHIP",4.75739364072254e-16,4.80713197968947,0.506,0.009,1.40980603149172e-11,"HHIP"
"PDGFC",4.82925568204298e-16,1.97373446684174,0.792,0.227,1.43110162881662e-11,"PDGFC"
"LATS2",4.99636200693529e-16,2.62511540944849,0.792,0.218,1.4806219171352e-11,"LATS2"
"SAPCD2",5.00394471244979e-16,2.56759248801237,0.662,0.1,1.48286897608737e-11,"SAPCD2"
"WTIP",5.02668074773876e-16,2.23545402912403,0.662,0.082,1.4896065727849e-11,"WTIP"
"MAP7D2",5.12228229296324e-16,2.61119317938965,0.571,0.036,1.51793713469673e-11,"MAP7D2"
"TRPV4",5.74677609705915e-16,2.69920059836246,0.506,0.009,1.70299962860251e-11,"TRPV4"
"PLBD1",5.99426321953967e-16,2.03563581972017,0.948,0.509,1.77633996247839e-11,"PLBD1"
"CATSPER1",6.11059939928253e-16,3.28826711044198,0.779,0.2,1.81081502598339e-11,"CATSPER1"
"CCL20",6.12660368385085e-16,3.53247575851003,0.909,0.555,1.81555773567236e-11,"CCL20"
"TRIQK",6.23021754481696e-16,2.16786198809951,0.909,0.382,1.84626266723106e-11,"TRIQK"
"SH3BP4",6.25862521349019e-16,2.67346565804938,0.701,0.118,1.85468099576568e-11,"SH3BP4"
"WNT5A",6.31439713041018e-16,2.9829593370052,0.532,0.018,1.87120844562575e-11,"WNT5A"
"TNFAIP2",6.36249983457692e-16,2.4613688405503,0.883,0.518,1.88546320097852e-11,"TNFAIP2"
"SIPA1L2",6.421666081182e-16,2.92446809588095,0.753,0.218,1.90299652649747e-11,"SIPA1L2"
"FLVCR2",6.4401288069867e-16,2.34585240651456,0.792,0.2,1.90846777066244e-11,"FLVCR2"
"RSAD2",6.63260669568569e-16,2.7318023714097,0.909,0.491,1.9655066681995e-11,"RSAD2"
"TANC1",6.87795243831548e-16,2.74771760150331,0.597,0.055,2.03821242557041e-11,"TANC1"
"AC009506.1",7.25230163545752e-16,2.76734030515939,0.649,0.1,2.14914706665148e-11,"AC009506.1"
"RTN4RL2",7.40447594771242e-16,3.0778640636162,0.649,0.082,2.1942424023451e-11,"RTN4RL2"
"MACC1",7.55294602282952e-16,2.85745001906369,0.883,0.336,2.2382400244053e-11,"MACC1"
"RBMS2",7.59759368099671e-16,2.52607930371571,0.896,0.282,2.25147091142657e-11,"RBMS2"
"RBP7",7.6950674416139e-16,3.20488052022019,0.649,0.109,2.28035628564786e-11,"RBP7"
"SNX21",7.92734512139947e-16,3.11750772580469,0.831,0.227,2.34918945327552e-11,"SNX21"
"FAM83E",8.11469262986303e-16,2.35028990919748,0.506,0.009,2.40470801393361e-11,"FAM83E"
"FZD1",8.15180516067806e-16,3.49572040619964,0.714,0.155,2.41570594131534e-11,"FZD1"
"LRRC4",8.68156252708939e-16,2.7156766497817,0.571,0.036,2.57269423927767e-11,"LRRC4"
"DLC1",8.83896610180341e-16,2.2099307292596,0.597,0.045,2.61933921460842e-11,"DLC1"
"RHOBTB3",9.23066041747529e-16,2.56985012090062,0.896,0.473,2.73541390811463e-11,"RHOBTB3"
"ITGAM",9.40978489167867e-16,3.3130370649275,0.857,0.455,2.78849565480006e-11,"ITGAM"
"NQO1",9.44216977175234e-16,2.79008030812138,0.961,0.518,2.79809259016109e-11,"NQO1"
"SERPINE1",9.50274067169024e-16,3.35052541575628,0.61,0.082,2.81604217064868e-11,"SERPINE1"
"ETV5",9.74948372449861e-16,2.960471217084,0.883,0.373,2.88916200691792e-11,"ETV5"
"AC005256.1",9.83770258439788e-16,2.96056919350252,0.481,0,2.91530478386047e-11,"AC005256.1"
"CA12",9.83770258439788e-16,2.98228901836376,0.481,0,2.91530478386047e-11,"CA12"
"CA9",9.83770258439788e-16,3.09599956175158,0.481,0,2.91530478386047e-11,"CA9"
"FIBCD1",9.83770258439788e-16,2.5430301379806,0.481,0,2.91530478386047e-11,"FIBCD1"
"GJB3",9.83770258439788e-16,2.43103668945266,0.481,0,2.91530478386047e-11,"GJB3"
"MUC3A",9.83770258439788e-16,3.01158569289162,0.481,0,2.91530478386047e-11,"MUC3A"
