"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"RP11-380O24.1",0.146642363035392,-0.417203231194017,0.043,0,1,"RP11-380O24.1"
"RP11-457M11.7",0.146642363035392,0.819807216008019,0.043,0,1,"RP11-457M11.7"
"RP11-532M24.1",0.146642363035392,-0.424283266949397,0.043,0,1,"RP11-532M24.1"
"RP11-731F5.2",0.146642363035392,-0.424293187902817,0.043,0,1,"RP11-731F5.2"
"RP11-826N14.2",0.146642363035392,-0.410467812728617,0.043,0,1,"RP11-826N14.2"
"RP11-91P24.6",0.146642363035392,-0.425489116125156,0.043,0,1,"RP11-91P24.6"
"RP3-468B3.2",0.146642363035392,0.252180615641369,0.043,0,1,"RP3-468B3.2"
"RP4-745E8.2",0.146642363035392,-0.201813982235779,0.043,0,1,"RP4-745E8.2"
"RP5-902P8.12",0.146642363035392,-0.410099407239324,0.043,0,1,"RP5-902P8.12"
"RP5-921G16.2",0.146642363035392,-0.49622920325521,0.043,0,1,"RP5-921G16.2"
"SLC32A1",0.146642363035392,-0.430523985102639,0.043,0,1,"SLC32A1"
"SMOC2",0.146642363035392,-0.400194052853179,0.043,0,1,"SMOC2"
"STRC",0.146642363035392,-0.464522311688743,0.043,0,1,"STRC"
"TAGLN3",0.146642363035392,-0.434770952180965,0.043,0,1,"TAGLN3"
"TRAV1-2",0.146642363035392,0.510670210828086,0.043,0,1,"TRAV1-2"
"TRAV35",0.146642363035392,-0.406652111606766,0.043,0,1,"TRAV35"
"TRBV10-3",0.146642363035392,-0.411164657891201,0.043,0,1,"TRBV10-3"
"TRBV30",0.146642363035392,-0.203894111558728,0.043,0,1,"TRBV30"
"TRBV4-1",0.146642363035392,-0.432820006508845,0.043,0,1,"TRBV4-1"
"UGT2B17",0.146642363035392,-0.203161703067257,0.043,0,1,"UGT2B17"
"Z69666.2",0.146642363035392,-0.440568035970454,0.043,0,1,"Z69666.2"
"ZBTB20-AS3",0.146642363035392,-0.411977330006463,0.043,0,1,"ZBTB20-AS3"
"SLC26A6",0.14665991265333,-0.76562179556092,0.243,0.388,1,"SLC26A6"
"MON1B",0.146694983958027,-0.501772837187581,0.386,0.571,1,"MON1B"
"TADA2A",0.146713907732568,-0.21003931303632,0.286,0.449,1,"TADA2A"
"POLR2J3",0.147084094443499,0.575732714922744,0.957,0.918,1,"POLR2J3"
"FXR2",0.147093554866223,0.116928280624409,0.314,0.49,1,"FXR2"
"TBCK",0.147133402049705,-0.253626604745963,0.3,0.49,1,"TBCK"
"SNX27",0.147192031016683,-0.592094056963458,0.514,0.714,1,"SNX27"
"AHCY",0.14732366626273,-0.80177164777904,0.571,0.714,1,"AHCY"
