"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"IL7R",2.71640073579913e-11,1.53518708398958,1,0.961,8.04978194046716e-07,"IL7R"
"MFSD2A",2.76486023872747e-11,-2.09876788380417,0.327,0.753,8.19338683144497e-07,"MFSD2A"
"TRPC6",2.78247711733619e-11,-2.27113798002694,0.009,0.377,8.24559268951407e-07,"TRPC6"
"ENTPD3",2.7948640629746e-11,-2.87706812996079,0.027,0.416,8.28230016421893e-07,"ENTPD3"
"FUT1",2.96334844370279e-11,-1.67063662967279,0.027,0.429,8.78158677806884e-07,"FUT1"
"MAGI3",3.02354514916931e-11,-2.27297189001562,0.273,0.779,8.95997369504832e-07,"MAGI3"
"MXRA8",3.03682905558254e-11,-2.0806864803066,0.118,0.597,8.9993392233133e-07,"MXRA8"
"USP18",3.05874875697446e-11,-2.07901794533351,0.691,0.974,9.06429606641811e-07,"USP18"
"FAM102B",3.07240947553146e-11,-1.91440697820952,0.373,0.844,9.10477823978992e-07,"FAM102B"
"PIK3IP1",3.09533811849587e-11,1.69179051990271,1,0.961,9.17272498035067e-07,"PIK3IP1"
"PTAFR",3.15644737205825e-11,-2.27116930591084,0.564,0.909,9.35381614235742e-07,"PTAFR"
"AC104667.3",3.21953979974204e-11,-1.34375074105313,0.009,0.377,9.54078424255556e-07,"AC104667.3"
"CXCR2",3.22742301704869e-11,-2.78331599666323,0.036,0.429,9.56414536872209e-07,"CXCR2"
"CABLES1",3.23507559080081e-11,-1.75999678978497,0.145,0.623,9.58682300577911e-07,"CABLES1"
"RP11-597D13.9",3.27456142011367e-11,-1.85495465514483,0.1,0.532,9.70383531236485e-07,"RP11-597D13.9"
"SLC22A23",3.27663007464242e-11,-2.98468025968743,0.118,0.584,9.70996556319535e-07,"SLC22A23"
"ADGRE2",3.30704250821806e-11,-2.15611477202086,0.482,0.805,9.80008976885339e-07,"ADGRE2"
"INPP4B",3.3346242330975e-11,1.45370292780883,0.955,0.883,9.88182545236113e-07,"INPP4B"
"ZC3H12C",3.35185176983689e-11,-1.97006221653529,0.127,0.571,9.93287753473464e-07,"ZC3H12C"
"ARHGAP39",3.37795242401666e-11,-1.91724858682691,0.036,0.442,1.0010224213331e-06,"ARHGAP39"
"FRMD5",3.3791358336106e-11,-1.31383895089869,0.018,0.403,1.00137311293217e-06,"FRMD5"
"NRN1",3.43927043680269e-11,-2.31621390388657,0.091,0.532,1.01919340124211e-06,"NRN1"
"RCN1",3.52310676880231e-11,-2.13169967048169,0.745,0.948,1.04403745986688e-06,"RCN1"
"AGT",3.57355470764202e-11,-3.07843977492852,0.018,0.39,1.05898720206264e-06,"AGT"
"RUSC2",3.57403687300827e-11,-1.67311165927457,0.045,0.455,1.05913008694727e-06,"RUSC2"
"AC013461.1",3.57802262628454e-11,-2.00784309224067,0.627,0.922,1.06031122507316e-06,"AC013461.1"
"BCL2L2",3.61853209772049e-11,-1.43478805730927,0.336,0.818,1.07231580183849e-06,"BCL2L2"
"NPHP1",3.73332003825466e-11,-1.66943193078976,0.209,0.753,1.10633206013639e-06,"NPHP1"
"TCF7L1",3.75475536143299e-11,-2.05043979684333,0.145,0.636,1.11268420380705e-06,"TCF7L1"
"STX1A",3.7763833466246e-11,-2.63198778435986,0.209,0.74,1.11909344093874e-06,"STX1A"
"FAM109A",3.80972718772806e-11,-1.98576727401678,0.273,0.753,1.12897455481133e-06,"FAM109A"
"SUCNR1",3.85789505487815e-11,-2.55665584375049,0.164,0.584,1.14324862056259e-06,"SUCNR1"
"CD68",3.8688462641694e-11,-1.93059506705256,0.9,0.961,1.14649390192396e-06,"CD68"
"CKM",3.91453562244865e-11,-1.784817403516,0.055,0.468,1.16003348635643e-06,"CKM"
"GNB4",3.92938942296126e-11,-1.84958473624739,0.664,0.935,1.16443526160034e-06,"GNB4"
"E2F2",3.93502795741196e-11,-2.14974420825779,0.136,0.597,1.16610618489946e-06,"E2F2"
"BLVRB",3.93691025377582e-11,-1.58271599874919,0.945,0.987,1.16666398460393e-06,"BLVRB"
"C9orf3",3.95852978602639e-11,-2.32997861407868,0.427,0.896,1.17307071679106e-06,"C9orf3"
"CDK1",3.98056683921687e-11,-2.12922481484373,0.409,0.818,1.17960117713353e-06,"CDK1"
"PODXL",3.98489569959176e-11,-1.98091436360512,0.055,0.481,1.18088399161702e-06,"PODXL"
"LRRC75B",3.98867752841395e-11,-1.3189747248896,0.064,0.506,1.18200469877019e-06,"LRRC75B"
