"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"FGFR3",2.22540462451568e-09,2.11832319751697,0.268,0,6.59476406428976e-05,"FGFR3"
"GSDMC",2.22540462451568e-09,1.77656690190189,0.268,0,6.59476406428976e-05,"GSDMC"
"GSTA1",2.22540462451568e-09,3.27005435849162,0.268,0,6.59476406428976e-05,"GSTA1"
"LINC01207",2.22540462451568e-09,3.4810816104715,0.268,0,6.59476406428976e-05,"LINC01207"
"LINC01436",2.22540462451568e-09,3.54359038270261,0.268,0,6.59476406428976e-05,"LINC01436"
"PI3",2.22540462451568e-09,2.8598522692311,0.268,0,6.59476406428976e-05,"PI3"
"POPDC3",2.22540462451568e-09,2.64835495738756,0.268,0,6.59476406428976e-05,"POPDC3"
"RP11-742B18.1",2.22540462451568e-09,4.4546294280528,0.268,0,6.59476406428976e-05,"RP11-742B18.1"
"SRRM3",2.22540462451568e-09,1.98315794050637,0.268,0,6.59476406428976e-05,"SRRM3"
"FAM227A",2.27957601052687e-09,2.3099999813402,0.39,0.05,6.75529554959533e-05,"FAM227A"
"MYRF",2.29667636006229e-09,1.85661014018895,0.317,0.017,6.80597072540859e-05,"MYRF"
"PLEKHA6",2.31448238934214e-09,2.37023116277021,0.378,0.042,6.85873711257649e-05,"PLEKHA6"
"FADS1",2.31956796520607e-09,2.21951428742702,0.634,0.242,6.87380770809166e-05,"FADS1"
"FCHO2",2.3535155399233e-09,2.58280293375303,0.683,0.25,6.97440795100872e-05,"FCHO2"
"ADAM15",2.36354643899435e-09,3.19620623072245,0.768,0.375,7.00413351731584e-05,"ADAM15"
"ADORA3",2.36835646766104e-09,3.39636830827698,0.402,0.067,7.01838755626672e-05,"ADORA3"
"NRP2",2.37259769847705e-09,2.95679812530504,0.671,0.275,7.03095601966688e-05,"NRP2"
"ITPKA",2.39892740582447e-09,2.81114574617045,0.354,0.033,7.10898147442024e-05,"ITPKA"
