"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"C2orf42",0.0194777804055477,-0.230870804634234,0.093,0.255,1,"C2orf42"
"SPNS1",0.0194887068955422,-0.776571632423427,0.347,0.627,1,"SPNS1"
"ATP6AP2",0.019495789110949,-0.772830760171246,0.6,0.863,1,"ATP6AP2"
"ABHD6",0.0195102769473053,-1.04613328722315,0.12,0.294,1,"ABHD6"
"NRBP1",0.0195141366932854,-0.756108861910956,0.493,0.765,1,"NRBP1"
"VSIG10",0.0195198631061589,0.334878927201634,0.093,0.275,1,"VSIG10"
"NPM3",0.0195437618272743,-0.90661797448442,0.347,0.608,1,"NPM3"
"ERI1",0.0195650057895537,-0.356078102346513,0.2,0.431,1,"ERI1"
"SERTAD1",0.0196402711150458,-0.762897442373957,0.4,0.686,1,"SERTAD1"
"ODF2",0.019651407739539,-0.790621097921675,0.24,0.51,1,"ODF2"
"SNX11",0.0197610653331867,-0.627302318540721,0.187,0.392,1,"SNX11"
"GALNT1",0.0197904856941516,-0.308082040347823,0.28,0.51,1,"GALNT1"
"NTAN1",0.0198076899363326,-0.713213357563482,0.387,0.647,1,"NTAN1"
"C17orf100",0.0199387880031329,0.519829009968685,0.053,0.196,1,"C17orf100"
"LENG9",0.0199387880031329,0.197659567613123,0.053,0.196,1,"LENG9"
"ABL1",0.0199570182103781,-0.911504036672305,0.133,0.333,1,"ABL1"
"KDM1A",0.0199570182103781,0.209709513730546,0.133,0.333,1,"KDM1A"
"SCLT1",0.0199754417611113,-1.02271910107996,0.187,0.373,1,"SCLT1"
"ESPL1",0.0199902125768847,-1.43298953090109,0.027,0.137,1,"ESPL1"
"OAZ3",0.0199902125768847,-0.951769363282204,0.027,0.137,1,"OAZ3"
"TEX261",0.0200176324138888,-0.572805944173735,0.213,0.471,1,"TEX261"
"METTL22",0.0200195642073717,-0.579185012829951,0.16,0.353,1,"METTL22"
"RMDN3",0.0200313516680857,-0.235801824099125,0.253,0.51,1,"RMDN3"
"COMMD4",0.020042831258713,-0.690253749574847,0.453,0.667,1,"COMMD4"
"MRPL47",0.0200493942112046,-0.891855585200157,0.48,0.686,1,"MRPL47"
"DTHD1",0.0201181545633619,2.52348340186553,0.173,0.039,1,"DTHD1"
"TAX1BP1",0.0201187642806031,-0.767294017274798,0.68,0.804,1,"TAX1BP1"
"DDX31",0.0201381195165393,-1.1932134405021,0.08,0.235,1,"DDX31"
"SLC25A38",0.0201612416179116,0.861124014743735,0.507,0.353,1,"SLC25A38"
"XRN1",0.0201787154019233,-1.33747032938164,0.227,0.451,1,"XRN1"
