"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"DHX58",0.57253194491581,0.220722963535573,0.55,0.622,1,"DHX58"
"LINC01013",0.572666725102739,-1.63642246630272,0.158,0.183,1,"LINC01013"
"TTC9",0.572871946612706,0.305270805449306,0.575,0.634,1,"TTC9"
"COQ6",0.572871946612706,0.419410013792421,0.592,0.61,1,"COQ6"
"MAF",0.572911322943836,-0.182389712905189,0.667,0.72,1,"MAF"
"CYTH4",0.572933848856485,0.416414555153816,0.858,0.805,1,"CYTH4"
"DNAJA2",0.57301605904379,0.514072920529461,0.767,0.768,1,"DNAJA2"
"ANKRD20A4",0.573040850142593,-1.11182651314655,0.208,0.183,1,"ANKRD20A4"
"PEX6",0.573226575092757,0.449723580592334,0.35,0.439,1,"PEX6"
"SDAD1",0.573356651436604,0.240234346070536,0.725,0.793,1,"SDAD1"
"TTC5",0.573437884391542,0.475708934766834,0.617,0.634,1,"TTC5"
"ZNF575",0.573592977207549,0.338062926444459,0.317,0.317,1,"ZNF575"
"CRADD",0.573593403363496,-0.128661583830253,0.567,0.622,1,"CRADD"
"ZDHHC17",0.573715448888265,-0.374097664149108,0.533,0.634,1,"ZDHHC17"
"BRD9",0.573842784169111,0.672348031494868,0.725,0.72,1,"BRD9"
"EIF4EBP3",0.573948320942873,1.59313716033679,0.217,0.28,1,"EIF4EBP3"
"USP48",0.574017125554889,-0.206858558408164,0.683,0.841,1,"USP48"
"CDK11A",0.574017267228856,0.447761388128394,0.725,0.78,1,"CDK11A"
"DCTN5",0.574419924331149,-0.224463191683849,0.608,0.732,1,"DCTN5"
"XRCC6",0.574511099087803,0.273322763413512,0.925,0.915,1,"XRCC6"
"ZNF212",0.574740463518897,-0.202307423908197,0.4,0.512,1,"ZNF212"
"ZNF66",0.574788598865477,0.205613201766004,0.15,0.122,1,"ZNF66"
"BOC",0.574946544381566,-0.319923114555509,0.042,0.061,1,"BOC"
"CTC-523E23.4",0.574946544381566,-0.508662012635534,0.042,0.061,1,"CTC-523E23.4"
"IGHV3-74",0.574946544381566,-0.240507368515464,0.042,0.061,1,"IGHV3-74"
"LMNTD1",0.574946544381566,-0.20039853377461,0.042,0.061,1,"LMNTD1"
"NPHP3-ACAD11",0.574946544381566,-0.616675511958316,0.042,0.061,1,"NPHP3-ACAD11"
"PNPLA3",0.574946544381566,-0.334881079005048,0.042,0.061,1,"PNPLA3"
"LRRC32",0.575031427194736,0.220896287804447,0.133,0.171,1,"LRRC32"
"IPO5",0.575116575333741,-0.109405455866525,0.683,0.805,1,"IPO5"
"CFL1",0.575441412709656,0.256166889551902,1,1,1,"CFL1"
"MYL6",0.575441412709656,-0.122539079180677,1,1,1,"MYL6"
"RP5-1171I10.5",0.575513817212613,0.133163740609025,0.792,0.805,1,"RP5-1171I10.5"
"COG2",0.575547361720036,-0.109335239910999,0.558,0.683,1,"COG2"
"HEATR6",0.575634431555849,0.734288842836188,0.367,0.402,1,"HEATR6"
"GLE1",0.575670722437533,-0.496419384335991,0.525,0.671,1,"GLE1"
